domain,arch,method,BAcc,F1,AUC,ECE,dECE,SCE,Brier,BSS,NLL,Conf,Ent,MTP,MCE,OCE,CCC,AURC,EAURC,Risk@90,Risk@80,BAcc_sd,F1_sd,AUC_sd,ECE_sd,dECE_sd,SCE_sd,Brier_sd,BSS_sd,NLL_sd,Conf_sd,Ent_sd,MTP_sd,MCE_sd,OCE_sd,CCC_sd,AURC_sd,EAURC_sd,Risk@90_sd,Risk@80_sd
BRAINTUMOR,MobileNetV3,ISOTONIC,0.8966313151353897,0.8966483610953258,0.9792138139421036,0.020280630009073687,0.005782056549834063,0.01713181469798089,0.15870539010437673,0.7883928131941647,0.33352264761924744,0.9075422763824463,0.2457684963941574,0.8518803834915161,0.28047999807766505,0.7344409823417664,0.9277155756950378,0.025810136567212337,0.020116649193244962,0.06753425638847241,0.04457981716731783,0.004420179866563097,0.0041834075534449905,0.002908220113857551,0.0026246231087279715,0.0022437979630526837,0.0018164411308384514,0.009710451086405548,0.012947268115207366,0.022409781936827255,0.009315142760428486,0.012455810400348221,0.007197554632967657,0.11299397332174738,0.033777480857099654,0.006815541500694932,0.0033199709501012214,0.0030013227400909094,0.005345486396866794,0.004598926020353878
BRAINTUMOR,MobileNetV3,MC_DROPOUT,0.8951227788265188,0.8945687659567623,0.9798863864302054,0.04579605382978091,0.025920542948016673,0.02801180011968981,0.1638850727971167,0.7814865696038448,0.31284173130989074,0.8504778265953064,0.4062489628791809,0.8087270379066467,0.4507529386452266,0.6438767075538635,0.8749587416648865,0.025177268286688464,0.01929322676186982,0.06911979650391922,0.04547044671408422,0.004198903397393853,0.004686620448627943,0.0023983741207977576,0.00325256443637023,0.0030686588844425966,0.0011941415981295922,0.01040457759981751,0.013872770133089971,0.017796470422917918,0.005672845088936177,0.011710544323945632,0.008246346181910152,0.22444194027460124,0.012063002582144372,0.0056267315905117014,0.0034163065085468223,0.00302235250344586,0.007288984601104688,0.0065494210935205955
BRAINTUMOR,MobileNetV3,TAU_0.60,0.9334035589161742,0.9333087372862987,0.9914159781851615,0.035527680767506016,0.021439267518041243,0.021873379470350347,0.10421981725016072,0.8610402436664526,0.20119860627216996,0.9011600565885155,0.2639599694438352,0.8750197405175131,0.2977849206389849,0.6477472664015819,0.9194031112703677,0.009224717844097004,0.006863834983377691,0.031548679072655086,0.014622957284446503,0.006659045069113648,0.0066242827399750044,0.0016538614390456997,0.006969853877253607,0.006725082940009177,0.002623195910123827,0.008720670028503524,0.011627560038004702,0.013525258076551354,0.0029700167596323226,0.011456138403411833,0.004820882479904789,0.10887917560592048,0.012781850949377812,0.0039146151571952765,0.0021442532967794695,0.001768632385762262,0.005005956292351614,0.003604901478268053
BRAINTUMOR,MobileNetV3,TAU_0.70,0.9329837820668869,0.9328859388482297,0.9913353412626013,0.03504013298259562,0.02110252957443162,0.02198836959936931,0.10426074788528972,0.8609856694862806,0.2014600500906895,0.9018430186409322,0.2619146402652415,0.8755181342742784,0.2728369521272235,0.647791765282105,0.9202583548425174,0.009329685725303752,0.006938811456072158,0.031548679072655086,0.014266451045587322,0.006649236103182752,0.006604391535925023,0.0016751763768340924,0.0067488331963346,0.006723998403139806,0.0029345083490390548,0.008768791935926392,0.011691722581235195,0.013925153434110302,0.003030260841869452,0.011443742976430329,0.005071539631225588,0.08639151692512995,0.011725391828547193,0.003864028427115749,0.0021287027997522107,0.0017576556164070236,0.005005956292351614,0.0035164411486710693
BRAINTUMOR,MobileNetV3,TAU_0.80,0.9328508925087974,0.932748854191374,0.9912861714790818,0.034816732859838315,0.020787861251077094,0.021524248599949523,0.10427415489072331,0.8609677934790358,0.2015296904429265,0.9024303586603359,0.25970153008161695,0.8760182346907547,0.27351458166914205,0.6480449429094151,0.9209070753720805,0.009419274576112219,0.007021358481371559,0.031548679072655086,0.01408819792615773,0.006098688011808427,0.006080337511814824,0.0016511368550786976,0.006485856955732788,0.006377476856699866,0.0029392093062292697,0.008830308029196446,0.011773744038928577,0.013987314902958535,0.0031430405215195655,0.0117747447888769,0.0053682084435009774,0.08646608843688357,0.013203788600007722,0.003753587120925706,0.0020653689518553256,0.0017428333178609572,0.005005956292351614,0.003539349207536148
BRAINTUMOR,MobileNetV3,TAU_0.85,0.9329821950298056,0.9328902892677892,0.9912845781712407,0.0340560126232228,0.020483823070770096,0.021539485069097482,0.10435318998068792,0.860862413359083,0.20150502612751048,0.9026727782079499,0.25864919186045576,0.8761983401420788,0.27351458166914205,0.6487210807718838,0.9210782188336829,0.009420071188106175,0.00703106092190342,0.031548679072655086,0.01408819792615773,0.00630549515387442,0.006291381917367759,0.0016600809933576069,0.006097748398788105,0.006405243477306882,0.0031574948085568585,0.008790078383636797,0.011720104511515705,0.014067262812872567,0.003235335784669575,0.012028495796501965,0.005428927604892055,0.08646608843688357,0.0125913872448224,0.0038602682142549944,0.002072940658080899,0.001740365574733583,0.005005956292351614,0.003539349207536148
BRAINTUMOR,MobileNetV3,TAU_0.90,0.9329837820668867,0.9328898828036596,0.9912830237994046,0.03302209604286127,0.019994507730718713,0.0216107488322277,0.10441122863624082,0.8607850284850125,0.20147550374725332,0.9027921101674362,0.257744850937478,0.876324533603303,0.27351458166914205,0.6487928872780749,0.9211974001850759,0.00949130921900918,0.007101084635679033,0.03123172186187854,0.01408819792615773,0.006518572757610484,0.006499705139772102,0.0016733178665293972,0.006204794121897022,0.006451792174668782,0.003156461620562869,0.00881886038985895,0.011758480519811954,0.0142395668183078,0.0033340909288828895,0.012350100180597973,0.005526588183366517,0.08646608843688357,0.011871967102861116,0.0037489940997586855,0.002259366070522406,0.001914187866987664,0.005462655002179709,0.003539349207536148
BRAINTUMOR,MobileNetV3,TAU_0.95,0.9326953580919556,0.9326067356995387,0.9913012982054614,0.032700106436741684,0.01941182975937346,0.021611098230240707,0.10452677715582656,0.8606309637922316,0.20145795393797128,0.9028800283007967,0.25675112709557485,0.8764056034264677,0.22411607664229866,0.6480980087368164,0.9214234271945436,0.009450735687861995,0.007039748584684544,0.031548679072655086,0.014444863177612299,0.006622399335588917,0.006592717615290596,0.0016836318703990524,0.006296770404617114,0.00648228777538144,0.003235344139744852,0.008805668336897875,0.011740891115863808,0.014321637878049043,0.0034121063500117234,0.01278985260167013,0.005572263484098075,0.09023267330927923,0.011466868946189982,0.0037794879815990228,0.00227768734823904,0.0019170639907472816,0.005068282264246932,0.003861960300471712
BRAINTUMOR,MobileNetV3,TEMP_SCALE,0.8959647367796396,0.8954121921298593,0.9801411012719173,0.01756466562458765,0.0038764341105047423,0.018842926818911823,0.15788283334215789,0.7894895555437896,0.30083921551704407,0.896904182434082,0.27584331631660464,0.84555424451828,0.34761247992515565,0.706630802154541,0.9192419052124023,0.024906469403342825,0.01911550182186683,0.0672176762084779,0.04475775226155664,0.004817297140639183,0.005573805797917328,0.002326637569416301,0.005778510524864832,0.003117845200403077,0.00376658596340407,0.010797698185486152,0.01439693091398153,0.022163948908393172,0.0040126310184853695,0.007817163833656389,0.007038213297245235,0.21810997055508882,0.011433707975256582,0.004093688271458364,0.0032752522818017943,0.002767136105282174,0.007730115591841922,0.005023540525189719
BRAINTUMOR,MobileNetV3,VEC_SCALE,0.899024936040778,0.8991014598629004,0.9803043682220034,0.01796460356174369,0.004331398314317101,0.017300643386990743,0.15653485314222343,0.7912868624770357,0.2978622061480043,0.8998283634761443,0.2655933999127658,0.8483998674860329,0.391053078881207,0.7158323847500714,0.9207016534339283,0.023940208953432178,0.018500705781393217,0.06721767620847792,0.043688392557574486,0.006577454659987858,0.006460019647059098,0.0023781616553524686,0.0038552243016552966,0.002297777302895723,0.002234435021571899,0.010113645551082283,0.013484860734776352,0.02119221029544908,0.0041441323514514695,0.009041327826925814,0.0061319144190368656,0.14892510157456848,0.01367509481885389,0.0030240884576555856,0.0029324268805924077,0.0024228718558457836,0.007182768257736621,0.006528372502300155
