domain,arch,fold,method,mc_active,BAcc,F1,AUC,ECE,dECE,SCE,Brier,BSS,NLL,Conf,Ent,MTP,MCE,OCE,CCC,AURC,EAURC,Risk@90,Risk@80
BRAINTUMOR,ConvNeXt,5,MC_DROPOUT,True,0.8796990387063917,0.8771619199386831,0.9795540116849725,0.022178398113107886,0.009709731906609714,0.026628367104863198,0.1689208018118668,0.7747722642508446,0.3092565155978081,0.8683881759643555,0.33753931522369385,0.8213474750518799,0.28254249691963196,0.6501602530479431,0.8987026810646057,0.025864270037976395,0.018060291488833268,0.07771609833465504,0.043710972346119537
BRAINTUMOR,ConvNeXt,5,TEMP_SCALE,True,0.8810995989304813,0.8784546521008268,0.979511303419453,0.02366041363390978,0.005017486060931782,0.022718611246402697,0.1679642792623746,0.7760476276501675,0.308144584682556,0.8871555924415588,0.2907126545906067,0.8347526788711548,0.30119138956069946,0.68073970079422,0.9154477715492249,0.025661985910875575,0.018042911169705803,0.0761300555114988,0.0463871543264942
BRAINTUMOR,ConvNeXt,5,VEC_SCALE,True,0.8893259008148715,0.8891088675949026,0.9799488757037911,0.02078663204442974,0.005468578052172503,0.01599696967187114,0.16109079555340391,0.7852122725954618,0.29277165654638115,0.8970713275215743,0.2687558869225393,0.844139216220834,0.166806794801584,0.7039085281405147,0.9214300098531618,0.024054095302505137,0.01749598174118313,0.07216494845360824,0.04906333630686887
BRAINTUMOR,ConvNeXt,5,ISOTONIC,True,0.890839858670741,0.8902860265418984,0.9784134142690668,0.017600031917683574,0.004847146329441985,0.014530079792679958,0.16565208900543474,0.7791305479927539,0.33429127474551,0.9036097526550293,0.2563851475715637,0.8451998829841614,0.22634805242220557,0.7374082207679749,0.924268364906311,0.024883631522649892,0.0184943025731803,0.0753370340999206,0.04928635147189998
BRAINTUMOR,ConvNeXt,5,DIRICHLET,True,0.8942139355742297,0.8941473593897705,0.979640177768505,0.019908235221038337,0.003975612271336686,0.016122347844489578,0.16002824515337932,0.7866290064621612,0.2928063573291303,0.896917462348938,0.2700026035308838,0.8444159626960754,0.3685499429702759,0.7100122570991516,0.9193102717399597,0.02404500711637648,0.0180676379462561,0.07295796986518636,0.043710972346119537
BRAINTUMOR,ConvNeXt,5,APEX,True,0.9332465940921824,0.93291617699221,0.9915289791077118,0.023482712700173367,0.011924436373939893,0.01932789257840462,0.1006462917337734,0.8658049443549689,0.1851675775183213,0.9135063022141129,0.23844130495232477,0.885172601658971,0.6272298530499847,0.6804506979778143,0.9304460745189702,0.009666161086140101,0.007292584635329132,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,ABL_no_gate,True,0.9318261395467278,0.9315706918554261,0.991545369258595,0.022935455386576944,0.011913509263376986,0.01988038904360455,0.10079278676385892,0.8656096176481882,0.1862959470467239,0.9115296603543719,0.24459182487770784,0.8835276655635628,0.6261623382068131,0.6733394553149143,0.9292342196561553,0.009703857108504174,0.007228586795209775,0.03251387787470262,0.012488849241748439
BRAINTUMOR,ConvNeXt,5,ABL_no_rbf,True,0.9332266997708175,0.9330010859186131,0.9914783367149476,0.02304180414427884,0.009658902946821663,0.01715310237850294,0.10163022710464542,0.8644930305271397,0.18654414081785375,0.9136418424439738,0.23479066865209125,0.8852896455322006,0.1190724385629589,0.67797202659878,0.9307716301297378,0.0098176030131809,0.00744402656236993,0.03647898493259318,0.014272970561998216
BRAINTUMOR,ConvNeXt,5,ABL_no_poly,True,0.9325801343264578,0.9322470781859137,0.9908743566616122,0.020004345167470402,0.008582653696085917,0.017260486549750532,0.10165369398044631,0.8644617413594051,0.18885001815040217,0.9123210365004832,0.2373076305234393,0.8841179046962024,0.39788525696039995,0.6799437683895954,0.9294023670813756,0.01002670564507684,0.007602555336056992,0.0317208564631245,0.016057091882247992
BRAINTUMOR,ConvNeXt,5,ABL_no_knn,True,0.9276244588744589,0.9272103102827487,0.9901811736733842,0.023933347912846174,0.008787067935325342,0.01598551268920007,0.10743966803438426,0.8567471092874879,0.19685641513369426,0.9211268119392663,0.22711879435567012,0.8867859998111747,0.38929175181477166,0.7064186551065575,0.9381514002023679,0.011350135955550303,0.008556653068062295,0.03409992069785884,0.01694915254237288
BRAINTUMOR,ConvNeXt,5,ABL_focal,True,0.9360676088617265,0.9355654990928322,0.9918767239675927,0.03121801867487206,0.0166248480870029,0.02245072121968656,0.09957952620307209,0.8672272983959041,0.18690453565834309,0.9062319192405228,0.25112895884074943,0.8810219590456272,0.39275978518481397,0.6622992612057432,0.9231639344054082,0.009274863714638053,0.007098129583677254,0.028548770816812053,0.012488849241748439
BRAINTUMOR,ConvNeXt,5,TAU_0.60,True,0.9332465940921824,0.93291617699221,0.9915575896288702,0.02240339507766228,0.011908037744173577,0.019216311056084533,0.10068622082114471,0.8657517055718073,0.18571848209118655,0.9124394594222991,0.24195117835571564,0.8842595268033324,0.6272298530499847,0.6792415979841413,0.9293895717686075,0.009657363854519624,0.007283787403708654,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,TAU_0.70,True,0.9332465940921824,0.93291617699221,0.9914892989240993,0.022209923213070054,0.010799267625588863,0.019586274815251353,0.10073892140845274,0.8656814381220632,0.1857025111193717,0.9129538105493781,0.24030270717663102,0.8846628977364766,0.6272298530499847,0.6802425259596381,0.9298685557949979,0.009734226739887613,0.0073606502890766435,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,TAU_0.80,True,0.9332465940921824,0.93291617699221,0.9915155020575337,0.022667656918061586,0.011561743451762523,0.019774913514420095,0.10060051870270967,0.865865975063054,0.18526585638880133,0.9133327023963824,0.2390889369993147,0.8850418304303306,0.6272298530499847,0.680148696502085,0.9302818076450116,0.009689895590156731,0.0073163191393457614,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,TAU_0.85,True,0.9332465940921824,0.93291617699221,0.9915289791077118,0.023482712700173367,0.011924436373939893,0.01932789257840462,0.1006462917337734,0.8658049443549689,0.1851675775183213,0.9135063022141129,0.23844130495232477,0.885172601658971,0.6272298530499847,0.6804506979778143,0.9304460745189702,0.009666161086140101,0.007292584635329132,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,TAU_0.90,True,0.9332465940921824,0.93291617699221,0.9915095392145297,0.023403335199494474,0.011819018793641637,0.019418278670543042,0.10069346805232435,0.865742042596901,0.18518892027610204,0.9135560636488947,0.23801287584574135,0.8852301877425255,0.6272298530499847,0.6804971012844696,0.9304960800411062,0.009675876930953082,0.007302300480142112,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,TAU_0.95,True,0.9332465940921824,0.93291617699221,0.9914812052729608,0.022198243917051802,0.010852119899726034,0.01956032142205552,0.10076786107884395,0.8656428518948749,0.18530970186443269,0.9136547531112846,0.237477112628345,0.8852793380067935,0.6272298530499847,0.6808717733370191,0.9305747095600643,0.009674555222731937,0.007300978771920967,0.03251387787470262,0.013380909901873328
BRAINTUMOR,ConvNeXt,5,FAIR_rbf_svm,True,0.9255574388846447,0.9250727970866036,0.9891018185065393,0.016098911659748798,0.00517437688661504,0.015908529990279276,0.11195863432383872,0.8507218209015486,0.205026829027439,0.9240855137313329,0.21910044070319137,0.8863092143667075,0.36681572362560577,0.7268042943749699,0.9402211690181957,0.012199017779616782,0.009239021589441575,0.040444091990483745,0.01694915254237288
BRAINTUMOR,ConvNeXt,5,FAIR_poly_svm,True,0.925513671377642,0.9250943339641845,0.9894768738593895,0.019565294597041965,0.006088629886809834,0.013501437925950882,0.11085787833696226,0.8521894955507172,0.2033550017580294,0.9245223970747435,0.21112897972455827,0.8885900514891917,0.3796137953411155,0.7076597007568252,0.9422596237797585,0.0123025235027802,0.009342527312604994,0.03727200634417129,0.01873327386262266
BRAINTUMOR,ConvNeXt,5,FAIR_knn,True,0.9267312038451745,0.9264359651891889,0.9825054349333273,0.05092696043958612,0.03655203994825543,0.02954687796496746,0.12142791799187391,0.8380961093441683,0.6909086412075564,0.9126615443640579,0.18299225925337234,0.8796355252433552,0.6108777212592883,0.6977033943772593,0.9298846935155427,0.020694247159242098,0.0178458094908946,0.04203013481363992,0.018733273862622607
BRAINTUMOR,ConvNeXt,5,FAIR_equal_blend,True,0.9332366469314999,0.9328763504015136,0.9914917697253411,0.025968902958797,0.010928097325152129,0.019416809715753835,0.09993317770237607,0.8667557630634988,0.18498662008430233,0.9115152582175893,0.23647741170856684,0.884844930366419,0.35521731164595094,0.665878308017401,0.9293695124402501,0.009666819893146153,0.007293243442335183,0.03013481363996828,0.014272970561998216
BRAINTUMOR,ConvNeXt,5,ABL_no_descriptors,True,0.9340005888719123,0.9335675861758316,0.9915505376567353,0.022098163809798513,0.010528136192420469,0.01589438025977304,0.10112522558990376,0.8651663658801285,0.1879890348033625,0.9118926619668475,0.2435313422295554,0.8837827068341866,0.36378443471442634,0.6795763896945267,0.9285881738885585,0.009769740811646305,0.0074461924908408705,0.0317208564631245,0.013380909901873328
BRAINTUMOR,MobileNetV3,1,BASE,True,0.8964374079997369,0.8962625613752312,0.9802548745167033,0.038892800881874544,0.019442088621216692,0.023759543270912193,0.16192571947339401,0.7840990407021415,0.3025801706699849,0.8572674989700317,0.3863154351711273,0.8148590922355652,0.32822519540786743,0.6520981788635254,0.8812801837921143,0.025179727890245144,0.019451022384720455,0.06735340729001585,0.04723707664884135
BRAINTUMOR,MobileNetV3,1,MC_DROPOUT,True,0.8943622789165872,0.894054478861257,0.9799679369761184,0.04598809771255687,0.026337580423534353,0.02619025755789149,0.16463900449332758,0.7804813273422302,0.30824817331479,0.848888635635376,0.407245010137558,0.8076576590538025,0.6749849915504456,0.6413721442222595,0.8737310767173767,0.025580076197504624,0.019611387292525925,0.06893819334389857,0.049019607843137254
BRAINTUMOR,MobileNetV3,1,TEMP_SCALE,True,0.8964374079997369,0.8962625613752312,0.9803085163101015,0.02169549518284082,0.0038331007763603804,0.014620190219295165,0.15822504567111256,0.7890332724385168,0.29352226217260735,0.8939629197120667,0.28139829635620117,0.8436453938484192,0.17360689043998717,0.7019006013870239,0.9164415001869202,0.02495446597928331,0.01922576047375862,0.06656101426307448,0.045454545454545456
BRAINTUMOR,MobileNetV3,1,VEC_SCALE,True,0.8977549112494372,0.8981810472768086,0.9807781102521913,0.016549349448719712,0.002827267945928992,0.01541640658645449,0.1550968906122425,0.7932041458503436,0.28874010036828696,0.8971493328182032,0.27061939984626177,0.8473659638810092,0.18764678413018088,0.7067562658241507,0.9190944796497911,0.0236593233688065,0.018087768627508858,0.06735340729001585,0.04723707664884135
